ID,Budget_y,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,MPAA,Running Time,Genres,Title_x,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget_x,domestic_revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
58232,8000000,"[35, 10749]","['Comedy', 'Romance']",tt1487118,"[29305, 2452, 7309, 6901, 137219, 11389, 13016, 205799, 205800, 45198, 205801, 205802, 403, 2707]","['Kaleidoscope Films', 'UK Film Council', 'Aegis Film Fund', 'Prescience', 'Hindsight Media', 'OFI', 'Cine Tirol', 'Metropolis International Sales', 'FilmFernsehFonds Bayern', 'Deutscher Filmförderfonds', 'BKM, kulturelle Filmförderung des Bundes', 'CrossDay Productions Ltd.', 'Neue Bioskop Film', 'Novotny & Novotny Filmproduktion']",2/2/11,5468650,96,Chalet Girl,R,1 hr 37 min,Comedy Romance Sport,Chalet Girl (2011),tt1487118,IFC Films,192,"February 17, 2011 (Netherlands)",0,1710,5466940,5468650,2011,8000000,1710
133931,20000000,"[35, 16, 12, 10751]","['Comedy', 'Animation', 'Adventure', 'Family']",tt1488181,"[10884, 25033, 25034, 5113, 23953]","['The Department of Trade and Industry of South Africa', 'The National Film and Video Foundation of SA', 'Wonderful Works', '120dB Films', 'Triggerfish']",6/5/12,0,83,Zambezia,G,1 hr 23 min,Adventure Animation Comedy Family,Adventures in Zambezia (2012),tt1488181,,,"August 23, 2012 (Russia/CIS)",0,34428345,34428345,,2012,20000000,34428345
49520,52000000,[35],['Comedy'],tt1488555,"[33, 7295, 333, 8406, 155457]","['Universal Pictures', 'Relativity Media', 'Original Film', 'Big Kid Pictures', 'Rampage VFX']",8/5/11,75450437,112,The Change-Up,R,1 hr 52 min,Comedy Fantasy,The Change-Up (2011),tt1488555,Universal Pictures,13531115,"August 5, 2011 (Domestic)",52000000,37081475,38368962,75450437,2011,52000000,37081475
82677,0,"[36, 99, 10752]","['History', 'Documentary', 'War']",tt1490678,[],[],9/14/11,0,80,Granito: How to Nail a Dictator,,1 hr 43 min,Crime Documentary History War,Granito (2011),tt1490678,International Film Circuit,4330,"September 14, 2011 (Domestic)",0,43942,43942,,2011,100000,43942
68812,20000000,"[53, 80, 18]","['Thriller', 'Crime', 'Drama']",tt1491044,"[1872, 1020]","['Bleiberg Entertainment', 'Millennium Media']",9/1/12,1969193,105,The Iceman,R,1 hr 46 min,Biography Crime Drama Thriller,The Iceman (2012),tt1491044,Millennium Entertainment,87946,"May 3, 2013 (Domestic)",0,1969193,2583777,4552970,2012,20000000,1969193
84926,0,"[10402, 18]","['Music', 'Drama']",tt1493099,[],[],8/16/11,0,105,Powder,,1 hr 45 min,Drama,Powder (2011),tt1493099,,,"August 26, 2011 (United Kingdom)",0,4082,4082,,2011,100000,4082
135708,0,[35],['Comedy'],tt1493157,"[55060, 10989, 22926]","['Troop 41 Productions', 'Muskat Filmed Properties', 'Magnet Films']",3/10/12,646,79,Nature Calls,R,1 hr 19 min,Comedy,Nature Calls (2012),tt1493157,Magnolia Pictures,382,"November 9, 2012 (Domestic)",0,646,646,,2012,100000,646
130993,0,"[99, 10749]","['Documentary', 'Romance']",tt1495768,[2999],['SVT'],6/21/12,0,93,Future My Love,,1 hr 37 min,Documentary,Future My Love (2012),tt1495768,,,"November 15, 2013 (United Kingdom)",0,1621,1621,,2012,100000,1621
52520,70000000,"[14, 28, 27]","['Fantasy', 'Action', 'Horror']",tt1496025,"[3287, 126, 7738, 7740]","['Screen Gems', 'Lakeshore Entertainment', 'Sketch Films', 'UW4 Productions']",1/19/12,160112671,88,Underworld: Awakening,R,1 hr 28 min,Action Fantasy Horror Sci-Fi,Underworld: Awakening (2012),tt1496025,Screen Gems,25306725,"January 18, 2012 (Egypt)",70000000,62321039,97791632,160112671,2012,70000000,62321039
82390,12500000,"[53, 18, 9648]","['Thriller', 'Drama', 'Mystery']",tt1496422,"[695, 925, 6692, 1020]","['Lee Daniels Entertainment', 'Nu Image', 'Benaroya Pictures', 'Millennium Media']",9/14/12,1353868,107,The Paperboy,R,1 hr 47 min,Crime Drama Mystery Thriller,The Paperboy (2012),tt1496422,Millennium Entertainment,102706,"October 5, 2012 (Domestic)",0,693286,3090579,3783865,2012,12500000,693286
