,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
898,84323,0,"[18, 35]","['Drama', 'Comedy']",tt1845849,"[88526, 86089]","['NYRA Productions', 'Dolly Hall Productions']",11/16/12,0,92,Price Check,,1 hr 32 min,Comedy Drama,Price Check (2012),IFC Films,2783.0,"November 16, 2012 (Domestic)",0,7413,7413.0,,2012,100000,7413
899,75760,0,"[99, 36]","['Documentary', 'History']",tt1848826,[],[],5/3/11,0,81,American Teacher,,1 hr 21 min,Biography Documentary History News,American Teacher (2011),First Run,6036.0,"September 30, 2011 (Domestic)",0,33144,33144.0,,2011,100000,33144
900,225077,2000000,[18],['Drama'],tt1848975,[],[],1/13/12,0,92,The Bag of Flour,,1 hr 32 min,Drama,The Bag of Flour (2012),,,"January 16, 2013 (Belgium)",0,4751,4751.0,,2012,2000000,4751
901,80282,0,[18],['Drama'],tt1849834,[74077],['Carles Torras'],12/9/11,0,70,Open 24h,,,,Open 24h (2011),,,"December 9, 2011 (Spain)",0,1615,1615.0,,2011,100000,1615
902,110196,0,[35],['Comedy'],tt1852050,"[10013, 10014, 10015]","['Ni Pies Films, A.I.E.', 'Santo y Seña Producciones', 'TeleMadrid']",4/25/12,0,110,Ni pies ni cabeza,,,Comedy,Ni pies ni cabeza (2012),,,"May 25, 2012 (Spain)",0,25639,25639.0,,2012,100000,25639
903,135812,7700000,[27],['Horror'],tt1852770,"[68141, 8521, 11807]","[""Les Films de l'Astre"", 'Enrique Cerezo', 'Film Export Group']",11/9/12,0,110,Dracula 3D,,1 hr 50 min,Drama Horror Romance Thriller,Dracula 3D (2012),IFC Films,3085.0,"November 9, 2012 (Spain)",0,8139,664973.0,673112.0,2012,7700000,8139
904,61488,0,"[99, 10402]","['Documentary', 'Music']",tt1853563,[],[],4/5/11,0,101,Foo Fighters: Back and Forth,,1 hr 41 min,Documentary Music,Foo Fighters: Back and Forth (2011),,,"June 24, 2011 (Brazil)",0,172558,172558.0,,2011,100000,172558
905,118677,0,"[35, 18]","['Comedy', 'Drama']",tt1853643,[],[],8/17/12,0,88,Why Stop Now?,R,1 hr 25 min,Comedy Drama,Why Stop Now? (2012),IFC Films,1641.0,"August 17, 2012 (Domestic)",0,2432,2432.0,,2012,100000,2432
906,68718,100000000,"[18, 37]","['Drama', 'Western']",tt1853728,"[308, 5]","['The Weinstein Company', 'Columbia Pictures']",12/25/12,425368238,165,Django Unchained,R,2 hr 45 min,Drama Western,Django Unchained (2012),The Weinstein Company,30122888.0,"December 25, 2012 (Domestic)",100000000,162805434,263268939.0,426074373.0,2012,100000000,162805434
907,77016,7000000,"[80, 18, 53]","['Crime', 'Drama', 'Thriller']",tt1855199,"[47354, 10405, 11448, 11449, 16312, 46961, 47169]","['5150 Action', 'EFO Films', 'Exclusive Media', 'Hedge Fund Film Partners', 'Crave Films', 'Knightsbridge Entertainment', 'Le Grisbi Productions']",9/20/12,48126384,109,End of Watch,R,1 hr 49 min,Action Crime Drama Thriller,End of Watch (2012),Open Road Films (II),13152683.0,"September 20, 2012 (EMEA, APAC)",7000000,41003371,14074775.0,55078146.0,2012,7000000,41003371
