,Earliest Release Date,Running Time,Genres,Title,Revenue,Domestic Distributor,Domestic Opening,MPAA,IMDB_ID
57,,1 hr 26 min,Documentary,Addicted to Life (2022),{},,,,tt22985706
58,,,Comedy Short,The Internet Remains Undefeated (2022),{},,,,tt19863386
59,"November 3, 2022 (Italy)",1 hr 36 min,Comedy Drama,My Neighbor Adolf (2022),"{'Domestic': 34196, 'International': 34196}",,,,tt7175968
60,"November 4, 2022 (Domestic)",1 hr 46 min,Comedy Mystery Romance Sci-Fi,Next Exit (2022),"{'Domestic': 4742, 'International': 4742}",Magnolia Pictures,3255,,tt19595494
61,,1 hr 21 min,Drama,Wild Life (2022),{},,,PG-13,tt18469778
62,"February 24, 2022 (Russia/CIS)",1 hr 33 min,Horror,The Jack in the Box: Awakening (2022),"{'Domestic': 991471, 'International': 991471}",,,,tt12764628
63,,1 hr 34 min,Comedy Drama Romance,"Sex, Lies, and Sugar (2011)",{},,,,tt21920786
64,,,Comedy Short Thriller,Our Language Is Chaos (2022),{},,,,tt21330274
65,,1 hr 25 min,Drama Romance,Tennessine (2023),{},,,,tt14438380
66,,1 hr 25 min,Documentary Horror,Dinner with Leatherface,{},,,,tt5862740
67,,1 hr 28 min,Comedy Drama,Allswell in New York (2022),{},,,,tt12243560
68,,1 hr 11 min,Drama,In My Head (2022),{},,,,tt26693465
69,"November 4, 2022 (United Kingdom)",1 hr 30 min,Adventure Mystery Sci-Fi,Deus (2022),"{'Domestic': 12154, 'International': 12154}",,,,tt8980128
70,,,Thriller,Would You Like to Dine with Me? (2022),{},,,,tt16604768
71,"April 13, 2023 (Domestic)",1 hr 37 min,Documentary,The Lost Weekend: A Love Story (2022),"{'Domestic': 102531, 'International': 102531}",Iconic Events Releasing,78079,,tt19812518
72,"August 4, 2022 (Russia/CIS)",1 hr 20 min,Horror Thriller,Motherly (2021),"{'Domestic': 117226, 'International': 117226}",,,,tt11464730
73,,,Documentary,Fio do Afeto (2022),{},,,,tt23029168
74,"September 14, 2023 (Domestic)",1 hr 40 min,Documentary,Elis and Tom (2023),{},Outsider Pictures,,,tt26255088
75,,1 hr 44 min,Adventure Family,Island of Lost Girls (2022),{},,,,tt21933142
76,"June 17, 2022 (United Kingdom)",1 hr 27 min,Documentary Music,Freedom Uncut (2022),"{'Domestic': 712917, 'International': 712917}",,,,tt7155286
77,,1 hr 26 min,Comedy Thriller,4 O'Clock (2021),{},,,,tt16068914
78,"August 11, 2022 (New Zealand)",1 hr 42 min,Drama,Aftersun (2022),"{'Domestic': 1658790, 'International': 6686672, 'Worldwide': 8345462}",A24,60752,R,tt19770238
79,,1 hr 45 min,Horror,Shriekshow (2022),{},,,,tt7587206
80,,1 hr 55 min,Documentary,Sonosfera Telectu (2022),{},,,,tt21111466
81,,1 hr 9 min,Crime,The Expert (2022),{},,,,tt27041634
82,,6 min,Horror Short,Into the Realm of the Night (2022),{},,,,tt18072698
83,,1 hr 43 min,Action Drama,Eyes of a Roman (2022),{},,,,tt12840630
84,,1 hr 35 min,,A Story of Bones (2022),{},,,,tt19796824
85,"November 18, 2022 (Domestic)",1 hr 33 min,Comedy Romance,There There (2022),"{'Domestic': 8694, 'International': 8694}",Magnolia Pictures,4244,,tt19796976
86,,1 hr 31 min,Comedy Family,Merry Christmas Officer Hansel (2022),{},,,G,tt11125908
87,,1 hr 17 min,Comedy,The Lonely Spirits Variety Hour (2022),"{'Domestic': 2104, 'International': 2104}",,,,tt20195942
88,,,Horror Thriller,Harvested 2 (2022),{},,,,tt17719794
89,,43 min,Documentary Short,Train Time (2022),{},,,,tt14531770
90,"December 30, 2022 (Domestic)",1 hr 52 min,Documentary,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb (2022),"{'Domestic': 335417, 'International': 335417}",Sony Pictures Entertainment (SPE),11681,PG,tt14071694
91,,,Crime Documentary,Murdaugh Murders: Deadly Dynasty (2022),{},,,,tt20202860
92,,1 hr 52 min,Comedy Romance,The Perfect Arrangement (2022),{},,,,tt20446500
93,,19 min,Drama Short,Dirty Dishes (2022),{},,,,tt21160004
94,"October 14, 2022 (United Kingdom)",1 hr 34 min,Documentary,Exhibition on Screen: Hopper - An American Love Story (2022),"{'Domestic': 128083, 'International': 128083}",,,,tt22803450
95,,42 min,Drama Short,Scars (2022),{},,,,tt20449526
96,,20 min,Documentary Short,Todd Hickman (2022),{},,,,tt22021424
97,,1 hr 1 min,Documentary,Stand Up (2022),{},,,,tt21365902
98,,34 min,Documentary Short,The Heat (2022),{},,,,tt22021474
99,,56 min,Documentary,Dogman Tales (2022),{},,,,tt21254654
100,,1 hr 19 min,Documentary,Notes from Brussels (2021),{},,,,tt18953178
101,,27 min,Documentary Short,Nobody Told Me (2022),{},,,,tt27047121
