ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
166789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,0,0,0,0,0,0,0,0,0,0,35,35,35,0
199568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68506,0,0,0,0,0,0,0,22,22,22,0,0,0,0
35739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2982,0,0,0,0,0,0,0,0,0,0,0,26,26,26
101287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2994,0,54,54,54,71,71,71,0,0,0,0,0,0,0
2995,0,54,54,54,71,90,90,19,36,36,36,0,0,0
2999,0,0,0,0,0,0,0,0,0,0,0,0,5,5
3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101339,0,0,0,0,0,0,0,0,0,0,20,20,20,0
3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35846,0,0,0,0,0,0,0,0,0,0,44,44,44,0
3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68619,0,0,0,0,16,16,85,69,69,0,0,0,0,0
35852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086,0,34,34,34,0,0,0,0,0,0,0,0,0,0
68624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3095,0,0,0,0,0,0,0,0,0,0,2,2,2,0
3096,44,0,58,46,46,32,62,105,154,154,111,62,0,0
101405,0,0,0,0,0,0,0,0,0,0,0,0,94,94
35873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3130,0,0,0,0,0,0,0,0,0,0,50,50,50,0
199738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3134,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35916,0,0,0,0,0,0,0,15,15,15,0,0,0,0
101459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3164,0,0,0,19,19,19,0,0,0,0,0,0,0,0
3172,104,98,202,209,206,430,408,526,571,706,813,699,732,491
101477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3173,0,0,0,0,0,0,0,0,0,0,0,0,15,15
101479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,0,0,0,44,44,44,0,0,0,0,0,0,0,0
3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134302,0,0,0,0,0,0,0,0,0,0,5,5,5,0
3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3226,0,0,0,0,0,0,0,0,0,0,0,0,0,24
3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3241,0,0,0,0,0,0,0,25,25,25,0,0,0,0
101544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3263,0,0,0,44,44,44,47,47,47,0,0,0,0,0
3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3268,68,0,68,0,0,0,0,0,0,0,0,0,0,61
