ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
794782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,28,28,28,0
1179821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,14,18,32,18,28,123,123,95,95,104,104,48,39,39
65727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65734,0,25,25,25,56,56,56,0,0,0,0,0,0,0
201,0,68,68,68,0,0,0,0,0,0,0,0,0,0
1163471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98521,0,0,0,0,0,0,0,0,0,0,78,78,78,0
106713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
