,ids
0,778240
1,49156
2,401414
3,122888
4,40970
5,24587
6,16
7,385050
8,188446
9,319520
10,81953
11,974882
12,671778
13,417828
14,368674
15,204839
16,221230
17,122936
18,499769
19,311357
20,32834
21,385092
22,71
23,77
24,557134
25,1146962
26,467027
27,704598
28,24664
29,319580
30,1073246
31,204894
32,1073248
33,1073249
34,1146978
35,860257
36,1155172
37,98
38,802913
39,933982
40,1073256
41,639081
42,639082
43,1073259
44,639084
45,1073261
46,57450
47,107
48,73838
49,270450
50,270455
51,270456
52,254074
53,180350
54,196737
55,254081
56,196738
57,843908
58,134
59,598152
60,819337
61,426122
62,598154
63,598156
64,901262
65,123022
66,49301
67,417944
68,819354
69,221339
70,344222
71,344223
72,344225
73,385188
74,8358
75,1163434
76,409771
77,458925
78,311470
79,245934
80,303280
81,90289
82,204977
83,458930
84,180404
85,1097909
86,123074
87,245955
88,377027
89,66796
90,65736
91,73928
92,286922
93,729292
94,983245
95,852173
96,41165
97,843984
98,303312
99,843980
100,491728
101,491727
102,319698
103,843991
104,57559
105,819419
106,819421
107,311518
108,41185
109,311522
110,819425
111,819429
112,82152
113,286955
114,1163500
115,876782
116,819439
117,565490
118,243
119,311541
120,950517
121,426231
122,819445
123,524537
124,819450
125,1032445
126,819455
127,286976
128,278784
129,598274
130,844035
131,8452
132,205061
133,598278
134,819463
135,467207
136,393481
137,1163530
138,491785
139,49414
140,393485
141,196877
142,49423
143,139536
144,639252
145,491796
146,762136
147,164123
148,426268
149,1171743
150,16673
151,270625
152,368931
153,205089
154,778533
155,409889
156,778535
157,311594
158,803115
159,278828
160,786732
161,1163566
162,49453
163,688432
164,41266
165,123187
166,278834
167,868661
168,459061
169,221493
170,41275
171,49469
172,318
173,926015
174,278846
175,794945
176,221506
177,614723
178,852289
179,106813
180,41282
181,327
182,893263
183,1032530
184,819538
185,49491
186,57686
187,581979
188,287068
189,1032542
190,24928
191,737637
192,49511
193,49514
194,229739
195,704878
196,696686
197,213360
198,778609
199,557429
200,573813
201,172407
202,262522
203,360829
204,262526
205,704893
206,598399
207,860544
208,557446
209,696712
210,392
211,500106
212,74121
213,860556
214,123277
215,434573
216,8584
217,434577
218,696722
219,278929
220,24977
