ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
395195,4000,[878],['Science Fiction'],tt2294789,"[17538, 21788, 9081, 51848]","['MovieMakers', 'Green Apple Entertainment', 'Phase 4 Films', 'Entertainment One Television']",10/14/12,0,106,Remember
130754,100000,[99],['Documentary'],tt2294819,[],[],6/1/12,0,89,Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism
147763,0,"[10751, 35, 10770]","['Family', 'Comedy', 'TV Movie']",tt2294853,"[13912, 7119, 142797]","['ARO Entertainment', 'Hybrid', 'Lancom Entertainment']",12/4/12,0,87,The Dog Who Saved the Holidays
503822,0,[18],['Drama'],tt2294892,[156607],['Instant Film'],2/7/12,0,11,White
476453,0,[99],['Documentary'],tt2294921,[],[],3/25/11,0,81,Trente tableaux
137166,0,[35],['Comedy'],tt2294929,[58747],['4 à 4 Productions'],12/26/12,0,136,"You, Me and Us"
81516,0,"[99, 10402]","['Documentary', 'Music']",tt2296338,[6614],['Chrome Dreams Media'],5/17/11,0,154,Brian Eno 1971–1977: The Man Who Fell To Earth
249654,0,[99],['Documentary'],tt2296418,[],[],1/3/11,0,40,Sagat
842538,0,[],[],tt2296669,[],[],6/18/11,0,10,Blood & Fire
825500,0,"[35, 878]","['Comedy', 'Science Fiction']",tt2296693,[],[],1/1/11,0,71,Coffee Run
387469,0,[],[],tt2296705,[],[],8/26/12,0,6,Dark Vessel
842541,0,[],[],tt2296797,[],[],6/18/12,0,12,Helping with Travis
318180,0,[],[],tt2296869,[],[],9/1/11,0,89,No Way Out But One
240615,23000,[99],['Documentary'],tt2296893,[],[],3/1/12,0,92,Outsiders: Japan
116835,15732,"[99, 10402]","['Documentary', 'Music']",tt2296909,[8273],['Eagle Rock Entertainment'],6/26/12,0,85,Pink Floyd : The Story of Wish You Were Here
97470,0,[99],['Documentary'],tt2296987,[18595],['ESPN Films'],3/11/12,0,90,The Announcement
112162,350000,[99],['Documentary'],tt2297031,[187244],['Southwest Light'],6/1/12,0,52,TimeScapes
187269,0,[99],['Documentary'],tt2297053,[],[],11/10/12,0,105,We Are Wisconsin
122326,150,[27],['Horror'],tt2297108,[1311],['The Asylum'],7/24/12,0,84,100 Ghost Street: The Return of Richard Speck
881243,0,[],[],tt2297854,[],[],7/1/12,0,74,From Cable Street to Brick Lane
346106,0,[35],['Comedy'],tt2297894,[134205],['Enough With The Bread Already Productions'],8/11/12,0,60,Jeff Ross Roasts America
272648,0,[],[],tt2297962,[],[],8/29/12,0,7,Second Wind
408092,0,[],[],tt2298054,[],[],3/1/12,0,5,The Trap
281170,0,[99],['Documentary'],tt2298277,[],[],1/1/12,0,0,Burning Man and the Meaning of Life
345894,0,[99],['Documentary'],tt2298353,[],[],6/30/12,0,24,I Remember: A Film About Joe Brainard
327112,0,[],[],tt2298377,[],[],1/1/12,0,0,Smoking Old Chimneys
164102,0,[],[],tt2298395,[],[],3/10/12,0,45,Martyries Xesikomou
114663,0,"[99, 18]","['Documentary', 'Drama']",tt2298473,[],[],1/1/11,0,0,Stand Up and Fight
140821,10000,"[27, 9648, 53]","['Horror', 'Mystery', 'Thriller']",tt2298489,[75407],['A Spencer Media'],3/18/12,0,89,The Casebook of Eddie Brewer
213431,0,[],[],tt2298766,[],[],8/25/12,0,30,Survivor Type
203584,0,[99],['Documentary'],tt2298780,[],[],8/1/12,0,83,The Last Ocean
406054,0,"[10402, 10751]","['Music', 'Family']",tt2298930,[],[],1/2/12,0,5,Perfect Pitch
345767,0,[],[],tt2298996,[],[],6/22/12,0,0,Unns Kjærlighet
346090,0,[18],['Drama'],tt2299344,[],[],1/1/12,0,12,My Beautiful Nightmare
373043,0,[878],['Science Fiction'],tt2299383,[],[],4/3/12,0,23,Advantageous
213097,0,[18],['Drama'],tt2299417,[70684],['Medium Density Fibreboard Films'],3/28/12,0,47,East Hastings Pharmacy
489470,0,[],[],tt2299475,[],[],3/1/11,0,5,Modern Island
327113,0,[],[],tt2299489,[],[],1/1/12,0,0,The Words of the Excluded
327114,0,[],[],tt2299501,[],[],1/1/12,0,0,Take the Gifts
253892,0,[99],['Documentary'],tt2299520,[],[],10/15/12,0,90,Heroes Behind the Badge
234919,0,[],[],tt2299565,[],[],11/1/11,0,60,The Long Hope
122827,0,"[35, 10770]","['Comedy', 'TV Movie']",tt2299601,"[94, 33205]","['ARTE France Cinéma', ""La Parisienne d'Images""]",3/29/12,0,0,Yes We Can
499327,0,"[80, 27]","['Crime', 'Horror']",tt2300408,[99794],['Agrapha Pictures'],12/31/12,0,13,Defrayment
386225,0,[],[],tt2300528,[],[],10/28/12,0,10,Seafood Tester
278548,0,[99],['Documentary'],tt2300710,[4762],['BBC Wales'],8/2/12,0,60,Amish: A Secret Life
135585,0,"[18, 878, 14]","['Drama', 'Science Fiction', 'Fantasy']",tt2300759,[],[],3/7/12,0,14,88:88
217362,0,[99],['Documentary'],tt2300769,[],[],10/19/12,0,98,A.K.A. Doc Pomus
126718,0,[36],['History'],tt2300783,[10407],['Reagal Films'],2/1/12,0,0,Amy Winehouse: Fallen Star
385945,0,[],[],tt2300881,[],[],5/8/12,0,14,Eventide
298451,0,[],[],tt2300891,[],[],5/25/12,0,0,Fathers
177089,0,[],[],tt2300893,[],[],1/13/12,0,87,Femme écrite
658961,0,[],[],tt2300927,[],[],5/5/12,0,35,Groom's Cake
96844,100000,[10402],['Music'],tt2301063,[214],['Eagle Vision'],10/24/11,1000000,162,"Peter Gabriel: New Blood, Live In London"
125036,0,[99],['Documentary'],tt2301105,[],[],6/10/12,0,90,Ricky on Leacock
414874,0,[],[],tt2301161,[],[],1/1/12,0,20,Singularity
135108,0,[10402],['Music'],tt2301177,[42384],['DC3 Global'],9/28/12,0,99,Steel Panther - British Invasion
358674,0,"[53, 35, 80]","['Thriller', 'Comedy', 'Crime']",tt2301233,"[4681, 18739]","['Retromedia Entertainment', 'Synthetic Filmwerx']",3/3/12,0,81,The Teenie Weenie Bikini Squad
169752,150,[],[],tt2301562,[],[],6/27/12,0,4,The Last One
345766,0,[18],['Drama'],tt2301632,[],[],6/15/12,0,12,The Wall
138358,0,[],[],tt2301752,[],[],10/4/12,0,87,The New Public
139659,0,[27],['Horror'],tt2301900,"[15352, 137983, 4867]","['Full Moon Features', 'Full Motion Entertainment', 'Full Moon Entertainment']",9/15/12,0,87,Puppet Master X: Axis Rising
258811,0,"[18, 28]","['Drama', 'Action']",tt2302150,[],[],11/1/12,0,90,Soldier of Destiny
129432,0,"[35, 18]","['Comedy', 'Drama']",tt2302334,"[8649, 207]","['Mikros Image', 'Agat Films & Cie / Ex Nihilo']",8/31/12,0,87,Queen of Montreuil
132866,0,[99],['Documentary'],tt2302491,[],[],2/11/12,0,48,40 Minutes of Hell
96924,0,[35],['Comedy'],tt2302529,[],[],3/20/12,0,61,Aziz Ansari: Dangerously Delicious
