,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
1574,,1 hr 44 min,Drama,Certainty (2011),{},tt1659341,,,,
1575,R,1 hr 54 min,Action Horror Mystery Sci-Fi Thriller,Universal Soldier: Day of Reckoning (2012),"{'Domestic': 5460, 'International': 1396847, 'Worldwide': 1402307}",tt1659343,Magnolia Pictures,3181.0,"October 4, 2012 (Russia/CIS)",
1576,,1 hr 40 min,Animation Comedy,Boston Brewed: The Movie,{},tt1660319,,,,
1577,,1 hr 41 min,Documentary,The Secret to a Happy Ending (2009),{},tt1660415,,,,
1578,,1 hr 30 min,Crime Drama Thriller,X (2011),{},tt1661099,,,,
1579,R,1 hr 24 min,Action Drama,Brawler (2011),{},tt1662295,,,,
1580,PG-13,1 hr 26 min,Adventure Comedy,Fun Size (2012),"{'Domestic': 9409538, 'International': 2007824, 'Worldwide': 11417362}",tt1663143,Paramount Pictures,4101017.0,"October 26, 2012 (Domestic)",14000000.0
1581,,1 hr 38 min,Drama Romance,Sea Shadow (2011),{},tt1663181,,,,
1582,PG-13,1 hr 44 min,Action Comedy Family,The Chaperone (2011),"{'Domestic': 279147, 'International': 279147}",tt1663187,The Samuel Goldwyn Company,,"February 18, 2011 (Domestic)",
1583,,1 hr 44 min,Crime Drama,A Safe House (2010),{},tt1663309,,,,
1584,,1 hr 30 min,Comedy Horror,Bloody Bloody Bible Camp (2012),{},tt1663625,,,,
1585,,1 hr 35 min,Comedy,Crazy Eyes (2012),"{'Domestic': 6141, 'International': 6141}",tt1663631,Strand Releasing,3259.0,"July 6, 2012 (Domestic)",
1586,R,1 hr 36 min,Drama Thriller,On the Ice (2011),"{'Domestic': 73492, 'International': 73492}",tt1663660,Rogers & Cowan/PMK,17901.0,"February 17, 2012 (Domestic)",
1587,PG,1 hr 28 min,Comedy Drama Family Romance,16-Love (2012),{},tt1663673,,,,
1588,,1 hr 24 min,Comedy,Super Hero Party Clown (2010),{},tt1663675,,,,
1589,R,1 hr 37 min,Crime Drama Thriller,Absolute Killers (2011),{},tt1663708,,,,
1590,,1 hr 21 min,Horror Thriller,Hidden 3D (2011),"{'Domestic': 1670477, 'International': 1670477}",tt1664664,,,"April 21, 2011 (Russia/CIS)",
1591,,1 hr 4 min,Biography Documentary Drama News,Pink Smoke Over the Vatican (2011),{},tt1664776,,,,
1592,,1 hr 30 min,Documentary,Reconciliation: Mandela's Miracle (2010),{},tt1664818,,,,
1593,,3 min,History Short,Sign-off (2011),{},tt1664856,,,,
1594,,1 hr 30 min,Action Horror Thriller,Beast Beneath (2011),{},tt1665008,,,,
1595,,19 min,Drama History Short War,To Rest in Peace (2011),{},tt1665029,,,,
1596,,1 hr 39 min,Drama,Junkhearts (2011),{},tt1665746,,,,
1597,,1 hr 38 min,Horror,Lilith (2011),{},tt1666188,,,,
1598,,1 hr 20 min,Biography Documentary,Free Radicals: A History of Experimental Film (2011),"{'Domestic': 3804, 'International': 3804}",tt1666305,Kino Lorber,1350.0,"August 3, 2012 (Domestic)",
1599,,1 hr 17 min,Action Adventure Crime Mystery Thriller,A Case of Deceit (2011),{},tt1666538,,,,
1600,,2 hr 20 min,Biography Drama Family,Ek Noor (2011),{},tt1666631,,,,
1601,,1 hr 27 min,Action Adventure Comedy Crime,Silver Case (2012),{},tt1666792,,,,
1602,,1 hr 25 min,Drama,Turbine (2011),{},tt1666824,,,,
1603,,1 hr 32 min,Biography Drama History Thriller,I.M. Caravaggio (2010),{},tt1667093,,,,
1604,,1 hr 20 min,Comedy Drama Fantasy,Up There (2011),"{'Domestic': 3956, 'International': 3956}",tt1667102,,,"November 16, 2012 (United Kingdom)",
1605,,1 hr 27 min,Comedy,Virgin Alexander (2011),{},tt1667145,,,,
1606,PG-13,1 hr 39 min,Comedy Drama Romance,Damsels in Distress (2011),"{'Domestic': 1008455, 'International': 305903, 'Worldwide': 1314358}",tt1667307,Sony Pictures Classics,58589.0,"April 6, 2012 (Domestic)",
1607,R,1 hr 35 min,Action Adventure Crime Drama Thriller,Deadfall (2012),"{'Domestic': 66351, 'International': 1879903, 'Worldwide': 1946254}",tt1667310,Magnolia Pictures,19391.0,"November 9, 2012 (Bulgaria)",
1608,,1 hr 29 min,Thriller,Night Vision (2011),{},tt1667317,,,,
1609,PG,1 hr 46 min,Adventure Comedy Drama Family Fantasy,Mirror Mirror (2012),"{'Domestic': 64935167, 'International': 118083355, 'Worldwide': 183018522}",tt1667353,Relativity Media,18132085.0,"March 15, 2012 (APAC, EMEA)",85000000.0
1610,,1 hr 35 min,Crime Horror Mystery Thriller,Coffin (2011),{},tt1667416,,,,
1611,,1 hr 28 min,Crime Thriller,Dirty Little Trick (2011),{},tt1667417,,,,
1612,,1 hr 26 min,Documentary,Cinema Is Everywhere (2011),{},tt1667421,,,,
1613,,1 hr 42 min,Drama War,Private Peaceful (2012),"{'Domestic': 132505, 'International': 132505}",tt1667439,,,"October 12, 2012 (United Kingdom)",
1614,,1 hr 22 min,Action Adventure Drama Fantasy Sci-Fi,Superman: Requiem (2011),{},tt1667443,,,,
1615,,1 hr 25 min,Documentary Musical,Trains of Thoughts (2012),"{'Domestic': 3009, 'International': 3009}",tt1667875,,,"December 7, 2012 (Austria)",
1616,PG,1 hr 28 min,Adventure Animation Comedy Family,Ice Age: Continental Drift (2012),"{'Domestic': 161321843, 'International': 715922939, 'Worldwide': 877244782}",tt1667889,Twentieth Century Fox,46629259.0,"June 27, 2012 (APAC, EMEA)",95000000.0
1617,,1 hr 17 min,Action Adventure Animation Fantasy Sci-Fi,Thor: Tales of Asgard (2011),{},tt1667903,,,,
1618,,1 hr 42 min,Crime Drama Thriller,A Proper Violence (2011),{},tt1668027,,,,
1619,,1 hr 33 min,Documentary,David Amram: The First 80 Years (2011),{},tt1669275,,,,
1620,,1 hr 14 min,Comedy,Surrogate Valentine (2011),{},tt1669277,,,,
1621,,1 hr 31 min,Comedy Romance,The A Plate (2011),{},tt1669779,,,,
1622,,1 hr 35 min,Documentary History War,Forgotten Bomb (2010),{},tt1669815,,,,
1623,,1 hr 37 min,Drama,Vito Bonafacci (2011),"{'Domestic': 9570, 'International': 9570}",tt1669846,CAVU,3027.0,"May 6, 2011 (Domestic)",
1624,,1 hr 33 min,Comedy Family,Wind Jammers (2011),{},tt1669850,,,,
1625,PG-13,1 hr 34 min,Comedy Romance,The Chateau Meroux (2011),{},tt1670269,,,,
1626,,1 hr 34 min,Comedy,CornerStore (2011),"{'Domestic': 45176, 'International': 45176}",tt1670389,Shotown Pictures,12743.0,"August 12, 2011 (Domestic)",
1627,,1 hr 25 min,Drama Romance War,Habibi Rasak Kharban (2011),{},tt1670646,,,,
1628,R,1 hr 35 min,Comedy Drama,American Animal (2011),"{'Domestic': 5928, 'International': 5928}",tt1670932,Screen Media Films,5928.0,"May 18, 2012 (Domestic)",
1629,,1 hr 23 min,Documentary,Pizza! The Movie (2004),{},tt1671476,,,,
1630,,1 hr 37 min,Documentary News,Four Horsemen (2012),{},tt1671513,,,,
1631,,1 hr 24 min,Biography Comedy Documentary Drama,You Laugh But It's True (2011),{},tt1671547,,,,
1632,,1 hr 34 min,Comedy Drama Sci-Fi,Ghosts with Shit Jobs (2012),{},tt1671570,,,,
1633,,1 hr 26 min,Thriller,Occupant (2011),{},tt1671582,,,,
1634,,1 hr 18 min,Thriller,Profane (2011),{},tt1671695,,,,
1635,R,1 hr 28 min,Crime Mystery Thriller,The Perfect Student (2011),{},tt1672131,,,,
1636,,1 hr 30 min,Horror,Demonica's Reign (2011),{},tt1672169,,,,
1637,,1 hr 26 min,Documentary Drama Family,Precious Life (2010),"{'Domestic': 2534, 'International': 2534}",tt1672614,,,"July 28, 2011 (New Zealand)",
1638,,1 hr 28 min,Drama Family Western,Love's Everlasting Courage (2011),{},tt1672621,,,,
1639,,1 hr 37 min,Drama,All I've Got (2012),{},tt1672719,,,,
1640,R,1 hr 20 min,Comedy Drama Music,Tonight You're Mine (2011),"{'Domestic': 6255, 'International': 126532, 'Worldwide': 132787}",tt1672845,Roadside Attractions,2144.0,"September 16, 2011 (United Kingdom)",
1641,,1 hr 36 min,Drama,Everywhere and Nowhere (2011),"{'Domestic': 60594, 'International': 60594}",tt1673374,,,"May 6, 2011 (United Kingdom)",
1642,PG-13,1 hr 55 min,Adventure Drama Fantasy Romance,The Twilight Saga: Breaking Dawn - Part 2 (2012),"{'Domestic': 292324737, 'International': 556269211, 'Worldwide': 848593948}",tt1673434,Lions Gate Films,141067634.0,"November 14, 2012 (EMEA)",120000000.0
1643,,17 min,Drama Short,The Fiddler (2011),{},tt1673494,,,,
1644,PG-13,1 hr 43 min,Biography Comedy Drama Music Romance,The Sapphires (2012),"{'Domestic': 2450867, 'International': 17972761, 'Worldwide': 20423628}",tt1673697,The Weinstein Company,38372.0,"August 9, 2012 (Australia)",
1645,,1 hr 26 min,Drama Romance,Falling Overnight (2011),{},tt1673736,,,,
1646,,1 hr 18 min,Animation Comedy,Little Johnny: The Movie (2011),{},tt1674086,,,,
1647,,1 hr 29 min,Documentary Drama History Thriller,An African Election (2011),"{'Domestic': 3251, 'International': 3251}",tt1674131,,,"November 25, 2011 (United Kingdom)",
1648,,13 min,Comedy Drama Short,Awfully Deep (2010),{},tt1674137,,,,
1649,,1 hr 49 min,Comedy Horror,Exit 101 (2011),{},tt1674185,,,,
1650,,1 hr 20 min,Documentary Drama,The Pipe (2010),{},tt1674204,,,,
1651,,2 hr,Documentary History News War,Deafening Silence: Burma Inside/Out,{},tt1674264,,,,
1652,,1 hr 30 min,Action Thriller,The Invaders: Genesis (2010),{},tt1674734,,,,
1653,R,1 hr 34 min,Drama Thriller,Keyhole (2011),"{'Domestic': 22826, 'International': 22826}",tt1674775,Monterey Media,3294.0,"April 6, 2012 (Domestic)",
1654,,1 hr 35 min,Comedy,Let Go (2011),{},tt1674776,,,,
1655,,1 hr 22 min,Comedy Documentary,Tell Your Friends! The Concert Film! (2011),{},tt1674781,,,,
1656,R,1 hr 31 min,Crime Drama Thriller,Trespass (2011),"{'Domestic': 24094, 'International': 10093872, 'Worldwide': 10117966}",tt1674784,Millennium Entertainment,16816.0,"October 14, 2011 (Domestic)",
1657,,1 hr 30 min,Crime Thriller,"Guns, Girls and Gambling (2012)","{'Domestic': 148570, 'International': 148570}",tt1675161,,,"March 28, 2013 (Russia/CIS)",
1658,R,2 hr 1 min,Drama Horror Sci-Fi Thriller,Take Shelter (2011),"{'Domestic': 1730296, 'International': 2010802, 'Worldwide': 3741098}",tt1675192,Sony Pictures Classics,52041.0,"September 30, 2011 (Domestic)",5000000.0
1659,,1 hr 12 min,Documentary,Where Are You Taking Me? (2010),"{'Domestic': 1492, 'International': 1492}",tt1675311,Icarus Films,937.0,"March 2, 2012 (Domestic)",
1660,R,1 hr 35 min,Comedy,Lloyd the Conqueror (2011),{},tt1675439,,,,
1661,,1 hr 17 min,Drama,Where I Begin (2011),{},tt1675441,,,,
1662,,1 hr 23 min,Family,Jonah and the Great Fish (2011),{},tt1675742,,,,
1663,,1 hr 31 min,Documentary Music,Don't Follow Me: I'm Lost (2012),{},tt1675761,,,,
1664,,1 hr 10 min,Biography Documentary,Put Up Your Dux (2010),{},tt1676180,,,,
1665,,2 hr,Music,Kepler (2010),{},tt1676936,,,,
1666,,1 hr 21 min,Biography Documentary History Music,The Girls in the Band (2011),{},tt1677642,Artist Tribe/One Step Productions,,"May 10, 2013 (Domestic)",
1667,,1 hr 30 min,Comedy Family Romance,A Holiday Heist (2011),{},tt1678037,,,,
1668,,1 hr 26 min,Documentary,Cure for Pain: The Mark Sandman Story (2011),{},tt1678050,,,,
1669,R,1 hr 34 min,Action Thriller,Soldiers of Fortune (2012),"{'Domestic': 38898, 'International': 1745388, 'Worldwide': 1784286}",tt1678051,Roadside Attractions,24978.0,"June 14, 2012 (United Arab Emirates)",
1670,,1 hr 36 min,Musical,"You, Me & The Circus (2012)",{},tt1678055,,,,
1671,,10 min,Drama Horror Mystery Short,Beautiful Enough (2011),{},tt1679151,,,,
1672,PG-13,1 hr 24 min,Action Sci-Fi Thriller,Earth's Final Hours (2011),{},tt1679180,,,,
1673,PG-13,1 hr 36 min,Comedy,Mean Girls 2 (2011),{},tt1679235,,,,
1674,,1 hr 3 min,Drama Fantasy Sci-Fi,Mirrors for Princes (2011),{},tt1679239,,,,
1675,,1 hr 16 min,Comedy Drama,Shuttlecock Boys (2011),{},tt1679290,,,,
1676,,1 hr 23 min,Comedy,We Are the Hartmans (2011),{},tt1679340,,,,
1677,,1 hr 22 min,Drama,Imani (2010),{},tt1679594,,,,
1678,R,1 hr 50 min,Crime Drama Mystery Romance Thriller,360 (2011),"{'Domestic': 100343, 'International': 4296632, 'Worldwide': 4396975}",tt1680045,Magnolia Pictures,12186.0,"April 19, 2012 (Thailand)",
1679,,1 hr 30 min,Horror Thriller,Alyce Kills (2011),{},tt1680051,,,,
1680,,40 min,Adventure Documentary Short,Born to Be Wild (2011),"{'Domestic': 25978556, 'International': 15665919, 'Worldwide': 41644475}",tt1680059,Warner Bros.,871478.0,"April 7, 2011 (Australia)",
1681,,1 hr 40 min,Comedy,Baciato dalla fortuna (2011),"{'Domestic': 3437400, 'International': 3437400}",tt1680105,,,"September 30, 2011 (Italy)",
1682,,1 hr 59 min,Biography Crime Drama,The Snowtown Murders (2011),"{'Domestic': 8452, 'International': 1340935, 'Worldwide': 1349387}",tt1680114,IFC Films,1273.0,"May 19, 2011 (Australia)",
1683,,1 hr 20 min,Comedy Horror,The Disco Exorcist (2011),{},tt1680119,,,,
1684,,1 hr 31 min,Action Adventure Comedy Horror Sci-Fi Thriller,Mega Python vs. Gatoroid (2011),{},tt1680138,,,,
1685,R,1 hr 40 min,Drama War,Afghan Luke (2011),{},tt1680305,,,,
1686,,1 hr 34 min,Family Sport,Home Run Showdown (2012),"{'Domestic': 8824, 'International': 8824}",tt1680311,Image Entertainment,8824.0,"July 27, 2012 (Domestic)",
1687,,2 hr 4 min,Documentary,Chew the Fat (2008),{},tt1680695,,,,
1688,,18 min,Adventure Drama History Short,Look Not at the Mountains! (2010),{},tt1680729,,,,
1689,,1 hr 29 min,Comedy Drama Romance,The One (2011),{},tt1681371,TLA Releasing,,"October 7, 2011 (Domestic)",
1690,,1 hr 23 min,Comedy Horror,Caesar and Otto's Deadly Xmas (2012),{},tt1681372,,,,
1691,,1 hr 26 min,Action Crime Drama,Falling Away (2012),"{'Domestic': 13869, 'International': 13869}",tt1681666,Indican Pictures,1284.0,"March 2, 2012 (Domestic)",
1692,,1 hr 44 min,Drama,Open Gate (2011),{},tt1682179,,,,
1693,PG-13,1 hr 39 min,Documentary,Bully (2011),"{'Domestic': 4142648, 'International': 269001, 'Worldwide': 4411649}",tt1682181,The Weinstein Company,116472.0,"March 30, 2012 (Domestic)",
1694,,1 hr 56 min,Drama,Brando Unauthorized (2010),"{'Domestic': 3123, 'International': 3123}",tt1682226,,,"May 26, 2011 (Russia/CIS)",
1695,R,1 hr 20 min,Comedy Drama Romance,Girl Walks Into a Bar (2011),{},tt1682246,,,,
1696,,,Comedy Drama Romance,Must Come Down (2012),{},tt1682937,,,,
1697,R,1 hr 38 min,Horror Thriller,Playback (2012),"{'Domestic': 264, 'International': 57323, 'Worldwide': 57587}",tt1682940,Magnolia Pictures,252.0,"March 16, 2012 (Domestic)",
1698,,1 hr 27 min,Documentary News,The Rubber Room (2012),{},tt1682999,,,,
1699,,,Drama,Jump (2012),{},tt1683053,,,,
1700,,1 hr 33 min,Drama,La vérité (2011),{},tt1683446,,,,
1701,,1 hr 46 min,Documentary Drama Family History,Norman Mailer: The American (2010),{},tt1683463,,,,
1702,,1 hr 29 min,Biography Documentary History Music,Wagner & Me (2010),"{'Domestic': 37745, 'International': 68507, 'Worldwide': 106252}",tt1683519,,,"January 6, 2011 (New Zealand)",
1703,,1 hr 37 min,Comedy,Austin High (2011),{},tt1683524,,,,
1704,,1 hr 38 min,Drama,Detachment (2011),"{'Domestic': 72689, 'International': 1616021, 'Worldwide': 1688710}",tt1683526,Tribeca Film,10739.0,"March 16, 2012 (Domestic)",
1705,PG,1 hr 30 min,Adventure Comedy Family,I Heart Shakey (2012),{},tt1684225,,,,
1706,PG-13,2 hr 50 min,Drama Musical,Carmen in (2011),{},tt1684549,,,,
1707,PG,1 hr 33 min,Adventure Comedy Family,Horrid Henry: The Movie (2011),"{'Domestic': 11045966, 'International': 11045966}",tt1684555,,,"July 29, 2011 (United Kingdom)",
1708,,1 hr 30 min,Comedy Drama Romance,Marriage Retreat (2011),{},tt1684558,,,,
1709,,1 hr 25 min,Comedy,Pie Head: A Kinda' True Story (2012),{},tt1684559,,,,
1710,,,Drama Romance,Summer Song (2011),{},tt1684561,,,,
1711,R,1 hr 23 min,Thriller,The Victim (2011),{},tt1684564,,,,
1712,,1 hr 42 min,Horror Thriller,Visible Scars (2012),{},tt1684567,,,,
1713,,1 hr 34 min,Comedy Documentary,Beware of Christians (2011),{},tt1684609,,,,
1714,,1 hr 22 min,Documentary Family Music,I Ride (2013),{},tt1684889,,,,
1715,R,1 hr 29 min,Drama Mystery Thriller,Wish You Were Here (2012),"{'Domestic': 46347, 'International': 1501094, 'Worldwide': 1547441}",tt1684925,,,"April 26, 2012 (Australia)",
1716,R,1 hr 25 min,Action Adventure Comedy Horror Sci-Fi Thriller,Swamp Shark (2011),{},tt1684927,,,,
1717,,1 hr 28 min,Fantasy Horror,Witchslayer Gretl (2012),{},tt1684936,,,,
1718,R,1 hr 33 min,Horror,Creature (2011),"{'Domestic': 508714, 'International': 24521, 'Worldwide': 533235}",tt1686018,Bubble Distribution,327000.0,"September 9, 2011 (Domestic)",
1719,,1 hr 31 min,Horror,When Death Calls (2012),{},tt1686044,,,,
1720,,,Action Crime,Hood Life (2011),{},tt1686051,,,,
1721,,,Drama,You'll Know My Name (2011),{},tt1686126,,,,
1722,,1 hr 50 min,Drama,Bashment (2011),{},tt1686306,,,,
1723,,1 hr 34 min,Comedy Drama Romance,"Sex, Lies, and Sugar (2011)",{},tt1686326,,,,
1724,,1 hr 21 min,Horror Mystery Thriller,The Oregonian (2011),{},tt1686327,,,,
1725,,1 hr 35 min,Action Comedy Romance,Indie Jonesing (2012),{},tt1686469,,,,
1726,,1 hr 24 min,Documentary History Music News,El field. (2011),{},tt1686674,,,,
1727,,1 hr 36 min,Horror,Monsters in the Woods (2012),{},tt1686902,,,,
1728,,1 hr 20 min,Drama Mystery,Sahkanaga (2011),{},tt1686907,,,,
1729,,1 hr 22 min,Horror,Abolition (2011),{},tt1687208,,,,
1730,,4 min,Comedy Short,Idiots (2010),{},tt1687235,,,,
1731,PG-13,1 hr 35 min,Documentary Drama,Life in a Day (2011),"{'Domestic': 252788, 'International': 354381, 'Worldwide': 607169}",tt1687247,National Geographic Entertainment,45202.0,"June 2, 2011 (Russia/CIS)",
1732,,1 hr 31 min,Comedy,Goldberg - P.I. (2011),{},tt1687276,,,,
1733,R,1 hr 32 min,Drama Mystery Thriller,InSight (2011),"{'Domestic': 11100, 'International': 11100}",tt1687277,Check Entertainment,9200.0,"September 2, 2011 (Domestic)",
1734,R,1 hr 45 min,Comedy Drama,Terri (2011),"{'Domestic': 655802, 'International': 655802}",tt1687281,ATO Pictures,65103.0,"July 1, 2011 (Domestic)",
1735,,1 hr 27 min,Action Crime Drama Thriller,City State (2011),"{'Domestic': 162562, 'International': 162562}",tt1687856,,,"October 14, 2011 (Iceland)",
1736,,1 hr 19 min,Documentary History,Inventing Our Life: The Kibbutz Experiment (2010),"{'Domestic': 16734, 'International': 16734}",tt1687875,First Run,6193.0,"April 27, 2012 (Domestic)",
1737,,1 hr 25 min,Action Horror Mystery,Legend of Hell (2012),{},tt1687878,,,,
1738,R,1 hr 42 min,Drama Horror Mystery Thriller,The Awakening (2011),"{'Domestic': 209696, 'International': 6669971, 'Worldwide': 6879667}",tt1687901,Cohen Media Group,95933.0,"November 11, 2011 (United Kingdom)",
1739,,1 hr 7 min,Documentary News,The Economics of Happiness (2011),{},tt1687905,,,,
1740,PG,1 hr 30 min,Action Sci-Fi Thriller,Metal Tornado (2011),{},tt1688653,,,,
1741,,,Action Crime Drama Western,The Price (2011),{},tt1688703,,,,
1742,PG-13,1 hr 39 min,Drama History War,War Flowers (2012),{},tt1688704,,,,
1743,,1 hr 44 min,Comedy Drama Musical,How Do You Write a Joe Schermann Song (2012),{},tt1690140,,,,
1744,,1 hr 26 min,Comedy Drama,Dark Horse (2011),"{'Domestic': 166228, 'International': 170922, 'Worldwide': 337150}",tt1690455,Brainstorm Media and Double Hope Films,13551.0,"June 8, 2012 (Domestic)",
1745,,1 hr 30 min,Documentary,After the Fire (2011),{},tt1690539,,,,
1746,R,1 hr 29 min,Action Crime Drama,Bro' (2012),{},tt1690540,,,,
1747,,1 hr 31 min,Crime Drama Thriller,Final Sale (2011),{},tt1690542,,,,
1748,,1 hr 31 min,Drama Fantasy,Flea (2018),{},tt1690543,,,,
1749,,1 hr 39 min,Comedy Horror,Vamperifica (2012),{},tt1691020,,,,
1750,PG-13,1 hr 42 min,Drama History Thriller War,Return to the Hiding Place (2013),"{'Domestic': 45405, 'International': 40293, 'Worldwide': 85698}",tt1691153,Seatzy,36942.0,"May 23, 2014 (Domestic)",
1751,,1 hr 23 min,Comedy Drama Romance,The Pill (2011),{},tt1691154,,,,
1752,,31 min,Drama Short Thriller,Silent River (2011),{},tt1691340,,,,
1753,,1 hr 25 min,Biography Documentary,Adventures in Plymptoons! (2011),{},tt1691448,,,,
1754,,1 hr 34 min,Comedy,Blacktino (2011),{},tt1691449,,,,
1755,,1 hr 26 min,Comedy Horror,You Can't Kill Stephen King (2012),{},tt1691452,,,,
1756,PG,1 hr 30 min,Action Family,Knockout (2011),{},tt1691453,,,,
1757,,1 hr 15 min,Action Comedy Romance,Jasper (2011),{},tt1691862,,,,
1758,R,2 hr 2 min,Drama,I Melt with You (2011),"{'Domestic': 6361, 'International': 9871, 'Worldwide': 16232}",tt1691920,Magnolia Pictures,2729.0,"December 9, 2011 (Domestic)",
1759,,1 hr 29 min,Crime Drama,Nice Guy (2012),{},tt1691926,,,,
1760,R,1 hr 27 min,Comedy,High Road (2011),{},tt1692084,,,,
1761,,1 hr 28 min,Fantasy Thriller,Hideaways (2011),"{'Domestic': 47654, 'International': 47654}",tt1692098,,,"November 23, 2011 (France)",
1762,,1 hr 25 min,Comedy Horror,A Cadaver Christmas (2011),{},tt1692235,,,,
1763,,1 hr 25 min,Biography Documentary History,An Encounter with Simone Weil (2010),{},tt1692259,,,,
1764,R,1 hr 20 min,Comedy Drama,Carnage (2011),"{'Domestic': 2547047, 'International': 28175585, 'Worldwide': 30722632}",tt1692486,Sony Pictures Classics,79795.0,"September 16, 2011 (Italy)",
1765,,1 hr 30 min,Action Drama,The Scrapper (2012),{},tt1692500,,,,
1766,,18 min,Drama Short,Frozen Roads (2010),{},tt1692843,,,,
1767,,2 hr 4 min,Documentary,Guest (2010),"{'Domestic': 9227, 'International': 9227}",tt1692848,,,"March 25, 2011 (Spain)",
1768,PG,1 hr 28 min,Documentary Family,The Last Lions (2011),"{'Domestic': 635325, 'International': 635325}",tt1692928,National Geographic Entertainment,53344.0,"February 18, 2011 (Domestic)",
1769,,1 hr 28 min,Comedy,Angry White Man (2011),{},tt1693106,,,,
1770,R,1 hr 17 min,Comedy,Highway (2012),{},tt1693107,,,,
1771,,2 hr 25 min,Comedy Drama Thriller,Showgirls 2: Penny's from Heaven (2011),{},tt1693110,,,,
1772,R,1 hr 45 min,Action Adventure Drama Fantasy Sci-Fi,Hirokin: The Last Samurai (2012),{},tt1693679,,,,
1773,,1 hr 25 min,Documentary History Music,Murundak: Songs of Freedom (2011),{},tt1693764,,,,
1774,,1 hr 34 min,Drama,New Jerusalem (2011),{},tt1693790,,,,
1775,R,1 hr 30 min,Comedy,Poolboy: Drowning Out the Fury (2011),{},tt1693843,,,,
1776,,1 hr 28 min,Action Sci-Fi,Red Faction: Origins (2011),{},tt1693872,,,,
1777,PG-13,1 hr 35 min,Comedy Drama,The Guilt Trip (2012),"{'Domestic': 37134215, 'International': 4729511, 'Worldwide': 41863726}",tt1694020,Paramount Pictures,5290629.0,"December 19, 2012 (Domestic)",40000000.0
1778,R,1 hr 44 min,Action Drama History War,Memorial Day (2012),{},tt1694118,,,,
1779,,1 hr 25 min,Drama Sport,Win by Fall (2012),{},tt1694510,,,,
1780,R,1 hr 30 min,Horror,The Trap Door (2011),{},tt1694570,,,,
1781,,8 min,Adventure Comedy Mystery Short,The Incident (2011),{},tt1695401,,,,
1782,,1 hr 53 min,Drama Thriller,The Loneliest Planet (2011),"{'Domestic': 129579, 'International': 139354, 'Worldwide': 268933}",tt1695405,IFC Films,15689.0,"October 26, 2012 (Domestic)",
1783,R,1 hr 25 min,Comedy,The Newest Pledge (2010),{},tt1695409,,,,
1784,,1 hr 40 min,Crime Horror Mystery Thriller,Tailor-made Murder (2012),{},tt1695797,,,,
1785,,1 hr 31 min,Documentary,The Advocate for Fagdom (2011),{},tt1695807,,,,
1786,,1 hr 27 min,Comedy Drama Mystery,Sunset Stories (2012),{},tt1695991,,,,
1787,,1 hr 37 min,Comedy,Wuss (2011),{},tt1696197,,,,
1788,,1 hr 48 min,Documentary,El Bulli: Cooking in Progress (2010),"{'Domestic': 237181, 'International': 105935, 'Worldwide': 343116}",tt1696535,Alive Mind Cinema,12756.0,"July 27, 2011 (Domestic)",
1789,,1 hr 29 min,Action Adventure Drama Sci-Fi Thriller,Super Eruption (2011),{},tt1697075,,,,
1790,,1 hr 29 min,Documentary Sport,4th and Goal (2010),{},tt1697797,,,,
1791,,1 hr 24 min,Comedy Horror,Bite Marks (2011),{},tt1697878,,,,
1792,,1 hr 20 min,Drama,Fly Away (2011),{},tt1697920,,,,
1793,,1 hr 38 min,Documentary,Shenandoah (2012),{},tt1697996,,,,
1794,,1 hr 44 min,Documentary Sport,TT3D: Closer to the Edge (2011),"{'Domestic': 3034200, 'International': 3034200}",tt1698010,,,"April 22, 2011 (United Kingdom)",
1795,,1 hr 26 min,Action Drama,Victim (2011),"{'Domestic': 29266, 'International': 29266}",tt1698027,,,"June 22, 2012 (United Kingdom)",
1796,PG-13,1 hr 43 min,Comedy,Girl Most Likely (2012),"{'Domestic': 1378591, 'International': 707026, 'Worldwide': 2085617}",tt1698648,Roadside Attractions,694447.0,"July 18, 2013 (Netherlands)",
1797,,1 hr 28 min,Crime Drama Mystery Thriller,"Me & Mr Jones, a love story on Natalee-island (2011)",{},tt1698653,,,,
1798,,1 hr 15 min,Fantasy Horror,1313: Haunted Frat (2011),{},tt1698658,,,,
1799,G,1 hr 40 min,Drama Sport,Seven Days in Utopia (2011),"{'Domestic': 4373074, 'International': 4373074}",tt1699147,Visio Entertainment,1316910.0,"September 2, 2011 (Domestic)",
1800,,1 hr 25 min,Documentary,The Legend of Pale Male (2009),"{'Domestic': 38083, 'International': 38083}",tt1699158,Balcony Releasing,12910.0,"November 24, 2010 (Domestic)",
1801,,1 hr 42 min,Drama History,Valley Of Strength (2010),{},tt1699221,,,,
1802,,1 hr 35 min,Biography Drama Family,Beyond the Blackboard (2011),{},tt1699225,,,,
1803,R,1 hr 26 min,Horror Sci-Fi Thriller,Quarantine 2: Terminal (2011),{},tt1699231,,,,
1804,,1 hr 30 min,Comedy Family Romance,Lake Effects (2012),{},tt1699498,,,,
1805,,1 hr 37 min,Drama,Turnout (2011),"{'Domestic': 333, 'International': 333}",tt1699520,,,"September 16, 2011 (United Kingdom)",
1806,,1 hr 5 min,Documentary Family History Sport,Strong Bodies Fight (2011),{},tt1699702,,,,
