,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
121,PG,2 hr 6 min,Adventure Drama Family Fantasy Mystery,Hugo (2011),"{'Domestic': 73864507, 'International': 111905803, 'Worldwide': 185770310}",tt0970179,Paramount Pictures,11364505.0,"November 23, 2011 (Domestic)",
122,,1 hr 26 min,Documentary Music,1 More Hit (2007),{},tt0972541,,,,
123,,1 hr 30 min,Drama Thriller,Paroled (2007),{},tt0972566,,,,
124,,1 hr 30 min,Action Comedy Family,All Screwed Up (2009),{},tt0972759,,,,
125,PG-13,1 hr 38 min,Biography Drama Romance,Hitchcock (2012),"{'Domestic': 6008677, 'International': 21030992, 'Worldwide': 27039669}",tt0975645,Fox Searchlight,287715.0,"November 23, 2012 (Domestic)",
126,PG-13,1 hr 50 min,Action Adventure Fantasy,Sucker Punch (2011),"{'Domestic': 36392502, 'International': 53400000, 'Worldwide': 89792502}",tt0978764,Warner Bros.,19058199.0,"March 24, 2011 (12 markets)",82000000.0
127,,,Family Talk-Show,Episode dated 10 March 2007 (2007),{},tt0978969,,,,
128,,30 min,Drama Romance,A Tale of Lou's Pretties (2006),{},tt0978995,,,,
129,,2 hr 12 min,Drama Music,Funkytown (2011),{},tt0981286,,,,
130,PG,1 hr 47 min,Action Adventure Animation Family Mystery,The Adventures of Tintin (2011),"{'Domestic': 77591831, 'International': 296402120, 'Worldwide': 373993951}",tt0983193,Paramount Pictures,9720993.0,"October 26, 2011 (EMEA)",
131,R,1 hr 26 min,Horror Thriller,You're Nobody 'til Somebody Kills You (2012),{},tt0983250,,,,
132,PG-13,1 hr 59 min,Action Comedy Crime,The Green Hornet (2011),"{'Domestic': 98780042, 'International': 129037206, 'Worldwide': 227817248}",tt0990407,Sony Pictures Entertainment (SPE),33526876.0,"January 12, 2011 (EMEA, LATAM)",120000000.0
133,,1 hr 30 min,Comedy Romance,The Significant Other (2012),{},tt0991173,,,,
134,PG-13,1 hr 51 min,Action Adventure Drama Thriller,Hanna (2011),"{'Domestic': 40259119, 'International': 23522959, 'Worldwide': 63782078}",tt0993842,Focus Features,12370549.0,"April 7, 2011 (4 markets)",30000000.0
135,R,1 hr 50 min,Action Drama Thriller,Straw Dogs (2011),"{'Domestic': 10324441, 'International': 844271, 'Worldwide': 11168712}",tt0999913,Screen Gems,5123760.0,"October 7, 2010 (Czech Republic)",25000000.0
136,,,Animation Sci-Fi,Star Trek: Aurora (2012),{},tt10003818,,,,
137,,1 hr 46 min,Drama,If You Only Knew (2011),{},tt1002569,,,,
138,,13 min,Documentary Short,Teles (2012),{},tt10039592,,,,
139,PG-13,1 hr 45 min,Biography Drama,The Iron Lady (2011),"{'Domestic': 30017992, 'International': 85872707, 'Worldwide': 115890699}",tt1007029,The Weinstein Company,220409.0,"December 26, 2011 (APAC)",
140,,1 hr 15 min,Drama,The Magic Skin (2011),{},tt10081374,,,,
