ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
9388,6500000,"[35, 18]","['Comedy', 'Drama']",tt0427944,"[150904, 1420, 445, 3567, 43]","['TYFS Productions LLC', 'ContentFilm', 'Major Studio Partners', 'Room 9 Entertainment', 'Fox Searchlight Pictures']",2005-09-09,24793509,92,Thank You for Smoking
9392,3500000,"[12, 27]","['Adventure', 'Horror']",tt0435625,"[7981, 3573, 45785]","['Pathé', 'Celador Films', 'Northmen Productions']",2005-07-08,57130027,99,The Descent
9515,10000000,"[28, 35, 80, 18, 53]","['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",tt0365485,"[14, 11027, 25433, 26948, 3135, 597, 74624, 51202]","['Miramax', 'Stratus Film Co.', 'DEJ Productions', 'Equity Pictures Medienfonds GmbH & Co. KG II', 'Furst Films', 'Irish Dreamtime', 'Yari Film Group (YFG)', 'Syndicate, The']",2005-05-12,17297244,96,The Matador
9522,40000000,"[35, 10749]","['Comedy', 'Romance']",tt0396269,"[1565, 12, 870]","['Avery Pix', 'New Line Cinema', 'Tapestry Films']",2005-07-13,288485135,119,Wedding Crashers
9621,57000000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt0368709,"[4, 44, 485, 20157]","['Paramount', 'Cruise/Wagner Productions', 'Vinyl Films', 'KMP Film Invest']",2005-10-14,52164016,123,Elizabethtown
9641,60000000,"[35, 10751, 12]","['Comedy', 'Family', 'Adventure']",tt0452598,"[25, 2575]","['20th Century Fox', '21 Laps Entertainment']",2005-12-21,129181830,94,Cheaper by the Dozen 2
9667,29000000,"[53, 9648, 18, 878, 14]","['Thriller', 'Mystery', 'Drama', 'Science Fiction', 'Fantasy']",tt0366627,"[11509, 129, 551, 827, 846, 1208, 3801]","['Warner Independent Pictures (WIP)', 'Section Eight', 'Mandalay Pictures', 'VIP Medienfonds 3', '2929 Productions', 'Rising Star', 'VIP 2 Medienfonds']",2005-03-04,21733230,103,The Jacket
9681,0,"[12, 35, 18, 10749]","['Adventure', 'Comedy', 'Drama', 'Romance']",tt0402894,"[44517, 9195, 1557, 75016]","['Power', 'Touchstone Pictures', 'The Mark Gordon Company', 'Gondola Pictures']",2005-12-25,37691644,112,Casanova
9687,169000,[35],['Comedy'],tt0444653,"[491, 2268]","['Summit Entertainment', 'Isle of Man Film']",2005-12-02,18564702,103,Keeping Mum
9700,9600000,"[18, 10749]","['Drama', 'Romance']",tt0343996,[35],['Lions Gate Films'],2005-09-03,4386236,144,The Lost City
9701,35000000,[18],['Drama'],tt0395972,"[6735, 8073, 376]","['Participant', 'Nick Wechsler Productions', 'Industry Entertainment']",2005-02-12,25224242,126,North Country
9722,85000000,"[35, 14, 10749]","['Comedy', 'Fantasy', 'Romance']",tt0374536,"[84893, 14440, 5]","['Bewitched', 'Red Wagon Entertainment', 'Columbia Pictures']",2005-06-21,131426169,102,Bewitched
9729,25000000,"[18, 9648, 53]","['Drama', 'Mystery', 'Thriller']",tt0373450,"[805, 2267, 808, 806, 12800, 11575]","['Serendipity Point Films', 'First Choice Films', 'The Movie Network', 'Téléfilm Canada', 'Ego Film Arts', 'Movie Central']",2005-10-07,3500000,107,Where the Truth Lies
9738,100000000,"[28, 12, 14, 878]","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",tt0120667,"[26149, 436, 19551, 25, 10881, 47]","['Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG', '1492 Pictures', 'Marvel Enterprises', '20th Century Fox', 'Bernd Eichinger Productions', 'Constantin Film']",2005-06-29,333535934,106,Fantastic Four
9763,10000000,[18],['Drama'],tt0380389,"[9195, 17491, 26470, 1171]","['Touchstone Pictures', 'Milkshake Films', 'Little Magic Films', 'Epsilon Motion Pictures']",2005-09-29,27610873,118,Goal!
