id,name,known_for_dept,popularity
3785696,Christopher Say,Acting,0.6
1434599,Brian Smyj,Crew,2.225
2283476,Richard Stride,Acting,0.806
1313601,Tony Tomlinson,Acting,0.6
3368713,Paul Woodadge,Acting,0.6
2320421,Michael Yale,Acting,1.4
578,Ridley Scott,Directing,11.022
976,Jason Statham,Acting,118.356
287,Brad Pitt,Acting,27.412
1115,Stephen Graham,Acting,17.372
1117,Dennis Farina,Acting,13.434
1116,Alan Ford,Acting,4.854
1121,Benicio del Toro,Acting,17.526
980,Vinnie Jones,Acting,15.853
1119,Robbie Gee,Acting,3.677
1120,Lennie James,Acting,6.988
1118,Rade Šerbedžija,Acting,5.765
2627,Ade,Acting,1.438
1122,Mike Reid,Acting,1.943
973,Jason Flemyng,Acting,16.38
1125,Ewen Bremner,Acting,11.366
1123,Andy Beckwith,Acting,4.162
40651,Charles Cork,Acting,2.833
1221763,Sorcha Cusack,Acting,13.099
60348,Dave Legeno,Acting,1.158
1340211,Trevor Steedman,Acting,0.629
83838,Yuri Stepanov,Acting,0.985
34515,Velibor Topic,Acting,3.137
1473866,Elwin 'Chopper' David,Acting,2.152
1124,William Beck,Acting,3.028
17072,Sam Douglas,Acting,3.79
2302,Adam Fogerty,Acting,3.294
933883,Eric Meyers,Acting,1.169
1901415,Jason Buckham,Acting,0.6
1901416,Mickey Cantwell,Acting,0.6
1362561,Nicola Collins,Directing,0.98
1901417,Teena Collins,Acting,0.968
167122,James Cunningham,Acting,1.02
1901418,Mickey Dee,Acting,0.6
1123329,Goldie,Acting,0.686
1836529,Sid Hoare,Acting,0.6
555144,Ronald Isaac,Acting,0.6
199104,Chuck Julian,Acting,0.616
554285,Jason Ninh Cao,Acting,0.957
1901423,Paul O'Boyle,Acting,0.6
1380903,Jimmy Roussounis,Acting,1.052
1901426,Sidney Sedin,Acting,1.176
1901427,Peter Szakacs,Acting,0.6
1901428,John Taheny,Acting,0.6
1901429,Mick Theo,Acting,1.4
1901430,Andy Till,Acting,0.6
555146,Scott Welch,Acting,0.6
1901432,Michael Hughes,Acting,0.6
210485,Liam McMahon,Acting,1.661
1646438,James Warren,Acting,2.606
1892745,Austin Drage,Acting,0.6
1901433,Liam Donaghy,Acting,0.6
1901434,Joe Williams,Acting,0.6
1901435,John Farnell,Acting,0.6
1901436,Shaun Pearson,Acting,0.6
1901437,Dean Smith,Acting,0.6
1901438,Roy Snell,Acting,0.6
30323,Tim Faraday,Acting,3.188
1901439,Andrew Shield,Acting,0.6
956,Guy Ritchie,Directing,25.23
2510041,Alex Andreas,Acting,0.6
55624,Dian Bachar,Acting,2.558
1071612,Sol Campbell,Acting,1.041
1504366,Tom Delmar,Crew,1.685
962343,Christopher Fosh,Acting,0.6
120916,John Hathaway,Acting,0.67
1817390,Tim Packham,Acting,0.69
30450,Peter Rnic,Acting,0.731
1461,George Clooney,Acting,26.005
1241,John Turturro,Acting,21.769
1462,Tim Blake Nelson,Acting,11.745
1466,Charles Durning,Acting,8.768
1230,John Goodman,Acting,17.575
1010,Michael Badalucco,Acting,7.378
18686,Holly Hunter,Acting,20.082
17401,Stephen Root,Acting,17.376
1465,Chris Thomas King,Acting,1.654
1470,Wayne Duvall,Acting,4.996
1473,Daniel von Bargen,Acting,3.745
1468,J.R. Horne,Acting,2.196
1469,Brian Reddy,Acting,8.199
1479,Frank Collison,Acting,3.235
1475,Musetta Vander,Acting,9.542
1472,Ray McKinnon,Acting,11.524
1467,Del Pentecost,Acting,2.651
1474,Mia Tate,Acting,1.27
1476,Christy Taylor,Acting,1.342
1481,Lee Weaver,Acting,5.922
1471,Ed Gale,Acting,6.307
1478,Millford Fortenberry,Acting,0.6
1480,Quinn Gasaway,Acting,0.652
22251,Royce D. Applegate,Acting,4.067
1223,Joel Coen,Directing,3.478
1224,Ethan Coen,Directing,3.953
31,Tom Hanks,Acting,39.454
9994,Helen Hunt,Acting,21.227
38026,Chris Noth,Acting,9.189
11892,Paul Sanchez,Acting,2.918
55433,Lari White,Acting,1.742
