,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
86361,663589,0,[99],['Documentary'],tt6507672,[127962],[b'Black Moon Productions'],11/9/17,0,64,b'SOS: The Salton Sea Walk'
86728,436934,0,[99],['Documentary'],tt6388664,"[47256, 109048]","[b'Picture Palace Pictures', b'Trilobite-Arts-DAC']",1/28/17,0,80,b'Tonsler Park'
87782,477278,0,"[878, 53, 36]","['Science Fiction', 'Thriller', 'History']",tt4656810,"[98623, 104852]","[b""L'Altrofilm"", b'Torino Film Production']",11/16/17,0,120,b'The Broken Key'
88405,874424,0,[18],['Drama'],tt6181812,[],[],2/28/17,0,20,b'Spark'
89292,454638,0,[18],['Drama'],,[84639],[b'Iroko Films'],2/2/17,0,74,b'The Screenplay'
91694,504590,0,"[18, 10770]","['Drama', 'TV Movie']",tt7525942,"[66095, 6728]","[b'TV One', b'Swirl Films']",11/15/18,0,79,b'Behind the Movement'
93736,455207,30000000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt3104988,"[5420, 107897, 174]","[b'Color Force', b'Ivanhoe Pictures', b'Warner Bros. Pictures']",8/15/18,238539198,121,b'Crazy Rich Asians'
94766,1150954,0,[],[],,[],[],9/18/19,0,0,b'The Insideman'
94866,627369,0,[18],['Drama'],,[4383],[b'Maverick Entertainment Group'],5/14/19,0,75,b'Bound To The Body'
95143,629490,0,[99],['Documentary'],tt11388244,"[13673, 131232]","[b'Blue + Green Communication', b'Storyhouse']",8/30/19,0,90,b'Beer! The Best Film Ever Brewed'
96259,834386,0,[],[],,[],[],5/15/19,0,8,b'PTSD'
96465,639320,0,[18],['Drama'],tt8623576,[],[],5/10/19,0,11,b'Relations'
96808,576187,0,[35],['Comedy'],tt8228884,[],[],7/12/19,0,85,b'I Got the Hook Up 2'
98828,1083644,0,[],[],,[],[],5/12/20,0,130,b'In The Land of Franco'
99992,1127055,0,[],[],tt10080044,[],[],2/15/20,0,12,b'Extended Stay'
103513,1059401,0,[],[],,[],[],12/9/21,0,5,b'Assurdonecessario'
104361,869706,1000,[16],['Animation'],tt14976180,[],[],4/1/21,0,16,b'Amy and the Tortoise - How Animals Saved the Planet'
104432,804868,0,[99],['Documentary'],tt14526682,"[92604, 34574]","[b'Norsk Fjernsyn', b'BALDR']",12/15/21,0,83,b'The Quest for Tonewood'
105338,877179,0,[],[],,[],[],6/24/21,0,3,b'baktiotha invocation'
106032,948708,0,[878],['Science Fiction'],,[],[],9/25/21,0,121,b'The Special People'
106782,956316,0,[],[],,[],[],4/29/22,0,31,b'Mud Water'
108989,1014361,0,[],[],tt21347844,[],[],8/19/22,0,0,b'The Stranger I know'
109448,1118376,0,[99],['Documentary'],,[194175],[b'LOT48 Film Co.'],1/1/23,0,74,b'The Collectors: Original Six'
109510,1020910,0,"[27, 9648, 53]","['Horror', 'Mystery', 'Thriller']",tt13309170,"[138220, 176562]","[b'Octane Entertainment', b'Superchill']",5/18/23,0,92,b'Influencer'
