,Runtime,Genre Cluster,G,NC-17,NR,PG,PG-13,R,Adj Merged Budget,Has Star Score,Has Director Score,Has Production Company Score,Has Domestic Distributor Score,Unweighted Star Score,Simple Weight Star Score,Log Weight Star Score,Exponential Weight Star Score,Total Director Score,Avg Director Score,Total Production Company Score,Avg Production Company Score,Domestic Distributor Score,Adj Merged Revenue
count,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0,3563.0
mean,102.47600336794835,0.6749929834409206,0.01094583216390682,0.001122649452708392,0.2542801010384507,0.10468706146505753,0.24361493123772102,0.3853494246421555,8154308.512787519,0.5391523996632052,0.13163064833005894,0.501543642997474,0.42071288240246985,132.57568650263354,89.75307446208966,79.3370063108725,74.11644511302117,9.810256111753558,9.173807534424615,467.04048973234774,127.67807577364385,458.30605663204545,10543496.104466455
std,17.323317594455503,1.0567344892128534,0.10406277063283274,0.03349184872458878,0.43551689505514396,0.30619273969893085,0.4293232206173656,0.4867460740321548,17562183.803902112,0.4985346974271236,0.3381362308201571,0.5000677971900465,0.49374282112029766,263.4129562794369,143.63445993582067,128.33630448747394,119.24741038165932,29.64909715485986,26.968206512476147,827.9014010604336,232.46456969889113,826.212278124218,27880407.050170466
min,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33014.19610432486,0.0,0.0,0.0,0.0,0.0007051705454491,0.0010540208088732,1.8e-14,1.632869404366577e-05,0.0002320801541043,0.0004216090918462,0.0009217172563968,0.0009832847542448,6.530199938792336e-05,24.069297978808947
25%,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41498.789618636125,0.0,0.0,0.0,0.0,0.5436550015776327,0.4939122239731295,0.4653472259861968,0.5447327039874335,0.28537187468327463,0.2852144754171234,0.5107563918544773,0.506636534365236,0.4289814408701731,16183.695849316658
50%,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42754.671462973856,1.0,0.0,1.0,0.0,24.0,11.0,1.131655091,6.097560976,0.5717257633383793,0.5892222189767106,1.0,0.9961524969336032,0.8678345622183046,276742.4374455372
75%,111.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7686558.471391488,1.0,0.0,1.0,1.0,174.0,129.2,115.80957115,106.72222224999999,0.8611142747319988,0.8649583408627506,530.0,141.5,405.0,7898712.27198192
max,310.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,156552937.75947788,1.0,1.0,1.0,1.0,7276.0,1358.0,1023.51048,949.71061,396.0,242.0,5262.0,1922.0,2829.0,393607030.76150656
